,ticker,currentPrice,beta,marketCap,volume,dividendYield,sector
187,FRT,92.39,1.107,8025725440,302012,4.7,Real Estate
188,FDX,224.595,1.356,52981739520,900149,2.59,Industrials
189,FIS,80.195,1.073,42134052864,926551,1.98,Technology
190,FITB,41.95,0.925,28010436608,1545554,3.51,Financial Services
191,FSLR,172.65,1.515,18515675136,1565035,0.0,Technology
192,FE,42.375,0.365,24456984576,2301508,4.26,Utilities
193,FI,140.305,0.915,76268814336,2551057,0.0,Technology
194,F,11.005,1.501,43761930240,65909178,6.9,Consumer Cyclical
195,FTNT,100.77,1.063,77130964992,1759845,0.0,Technology
196,FTV,48.58,1.0555930959778057,16511467520,1799955,0.64,Technology
197,FOXA,55.69,0.522,23977105408,958941,0.97,Communication Services
198,FOX,51.04,0.522,23910862848,329129,1.06,Communication Services
199,BEN,24.095,1.47,12662427648,2677289,5.27,Financial Services
200,FCX,40.5,1.642,56699998208,16301736,1.53,Communication Services
201,GRMN,218.47,1.2459897671432902,42064429056,553511,1.63,Technology
202,IT,340.725,1.191,26224545792,317687,0.0,Technology
203,GE,271.055,1.379,287437553664,2031783,0.53,Industrials
204,GEHC,71.89,1.4066434858743226,32917352448,3206613,0.2,Healthcare
205,GEV,663.44,1.6362986204339616,180604289024,2196401,0.15,Industrials
206,GEN,29.59,1.006,18217852928,1056103,1.68,Technology
207,GNRC,196.175,1.725,11590333440,2010413,0.0,Industrials
208,GD,310.905,0.472,83631267840,494270,1.92,Industrials
209,GIS,49.045,0.004,26603382784,2948426,4.96,Consumer Defensive
210,GM,53.38,1.323,50812403712,9034564,1.15,Consumer Cyclical
211,GPC,129.01,0.751,17944258560,697102,3.12,Consumer Cyclical
212,GILD,113.865,0.307,141640089600,2525243,2.75,Healthcare
213,GPN,80.92,0.945,19734769664,652107,1.23,Industrials
214,GL,140.7409,0.561,11617162240,218635,0.77,Financial Services
215,GDDY,162.5,1.055,23154300928,664975,0.0,Technology
216,GS,726.46,1.344,222907711488,1130706,2.19,Financial Services
217,HAL,22.345,1.136,19051390976,6701417,3.04,Energy
218,HIG,124.975,0.685,35139469312,485694,1.67,Financial Services
219,HAS,75.195,0.58,10536999936,613345,3.68,Consumer Cyclical
220,HCA,355.505,1.48,85525258240,549910,0.81,Healthcare
221,DOC,16.975,1.006,11796318208,3582930,7.09,Real Estate
222,HSIC,68.61,0.868,8576592896,791462,0.0,Healthcare
223,HSY,186.935,0.287,37873778688,865735,2.9,Consumer Defensive
224,HPE,20.935,1.364,27471325184,4618559,2.49,Technology
225,HLT,268.27,1.25,63095492608,805046,0.22,Consumer Cyclical
226,HOLX,66.7,0.555,14863760384,1645280,0.0,Healthcare
227,HD,368.695,1.004,366824980480,1200456,2.47,Consumer Cyclical
228,HON,222.715,1.063,141401096192,1043781,2.03,Industrials
229,HRL,28.01,0.33,15402558464,871836,4.1,Consumer Defensive
230,HST,15.765,1.332,11084561408,12035656,4.96,Real Estate
231,HWM,176.06,1.43,71070842880,5013622,0.25,Industrials
232,HPQ,25.035,1.291,23514699776,3336769,4.61,Technology
233,HUBB,442.02,0.981,23591755776,326105,1.21,Industrials
234,HUM,251.59,0.3192070277123291,30365151232,1511619,1.35,Healthcare
235,HBAN,16.5465,0.952,24255348736,24507297,3.74,Financial Services
236,HII,282.78,0.3,11096032256,1236830,2.09,Industrials
237,IBM,256.5,0.68,238934622208,2305592,2.58,Technology
238,IEX,164.34,1.036,12414999552,591796,1.73,Industrials
239,IDXX,541.66,1.54,43561324544,543049,0.0,Healthcare
240,ITW,256.555,0.8808830975568096,75264516096,712220,2.37,Industrials
241,INCY,75.645,0.683,14771652608,749826,0.0,Healthcare
242,IR,85.45,1.428,34475913216,1260410,0.09,Industrials
243,PODD,291.58,1.347,20519911424,233923,0.0,Healthcare
244,ICE,186.6,1.119,107038613504,2315203,1.03,Financial Services
245,IFF,71.16,1.054,18202017792,821312,2.23,Communication Services
246,IP,47.78,0.974,25223157760,7627899,3.45,Consumer Cyclical
247,IPG,24.645,1.042,9026625536,2960592,5.31,Communication Services
248,INTU,791.43,1.277,220767027200,675042,0.52,Technology
249,ISRG,488.92,1.647,175266578432,1166359,0.0,Healthcare
250,IVZ,21.185,1.443,9448509440,2106894,3.91,Financial Services
251,INVH,31.0899,0.799,19056523264,3703071,3.7,Real Estate
252,IQV,188.27,1.307,32005900288,825080,0.0,Healthcare
253,IRM,97.815,1.102,28859729920,394697,3.21,Real Estate
254,JBHT,144.52,1.29,13989434368,436926,1.22,Industrials
255,JBL,223.07,1.202,23939649536,533180,0.14,Technology
256,JKHY,171.36,0.722,12477750272,197385,1.34,Technology
257,J,142.09,0.761,17072965632,336478,0.91,Industrials
258,JNJ,166.035,0.4,399868723200,3107191,3.11,Healthcare
259,JCI,105.35,1.33,69325250560,3121096,1.42,Industrials
260,JPM,296.735,1.094,815923265536,3543583,1.87,Financial Services
261,K,79.87,0.289,27710019584,1764227,2.91,Consumer Defensive
262,KVUE,21.725,0.783,41710047232,5633293,3.83,Consumer Defensive
263,KDP,33.035,0.484,44876062720,4704393,2.72,Consumer Defensive
264,KEY,18.04,1.088,20068599808,26345415,4.52,Financial Services
265,KEYS,165.31,1.096,28451336192,238048,0.0,Technology
266,KMB,125.4479,0.364,41625620480,1031968,4.02,Consumer Defensive
267,KIM,21.545,1.26,14575106048,3314836,4.57,Real Estate
268,KMI,27.995,0.751,62207131648,6312966,4.18,Energy
269,KKR,146.46,1.882,135506264064,2735859,0.49,Financial Services
270,KLAC,887.59,1.416,117375795200,1067839,0.82,Technology
271,KHC,27.565,0.2969478163723314,32624279552,8679600,5.62,Consumer Defensive
272,KR,69.695,0.579,46079266816,5259131,2.02,Consumer Defensive
273,LHX,274.15,0.749,51292094464,409388,1.75,Industrials
274,LH,261.68,0.799,21693272064,208132,1.09,Healthcare
275,LRCX,94.435,1.69,120793694208,16762570,0.93,Technology
276,LW,56.89,0.448,7924833280,1147490,2.52,Consumer Defensive
277,LVS,52.45,1.026,36004511744,1542619,1.89,Consumer Cyclical
278,LDOS,160.73,0.654,20689004544,327198,0.99,Technology
279,LEN,112.88,1.347,29076420608,1000598,1.78,Consumer Cyclical
280,LII,612.3,1.132,21506609152,133149,0.84,Industrials
281,LLY,756.0,0.398,678688391168,2710139,0.79,Healthcare
282,LIN,462.1628,0.965,217551126528,707849,1.29,Communication Services
283,LYV,149.275,1.456,34597765120,934503,0.0,Communication Services
284,LKQ,29.57,0.941,7608153600,2123178,3.98,Consumer Cyclical
285,LMT,420.355,0.276,98138177536,960307,3.15,Industrials
286,L,90.96,0.701,19074037760,183443,0.28,Financial Services
287,LOW,224.48,0.905,125807124480,938314,2.11,Consumer Cyclical
288,LULU,202.1881,1.176,24232445952,2507935,0.0,Consumer Cyclical
289,LYB,57.8458,0.839,18591639552,3621931,9.31,Communication Services
290,MTB,190.045,0.617,29748123648,269191,2.82,Financial Services
291,MPC,170.04,0.86,52238667776,431141,2.13,Energy
