ticker,currentPrice,beta,marketCap,volume,dividendYield,sector_Communication Services,sector_Consumer Cyclical,sector_Consumer Defensive,sector_Energy,sector_Financial Services,sector_Healthcare,sector_Industrials,sector_Real Estate,sector_Technology,sector_Utilities
BEN,24.095,1.47,12662427648,2677289,5.27,False,False,False,False,True,False,False,False,False,False
FCX,40.5,1.642,56699998208,16301736,1.53,False,False,False,False,False,False,False,False,False,False
GRMN,218.47,1.2459897671432902,42064429056,553511,1.63,False,False,False,False,False,False,False,False,True,False
IT,340.725,1.191,26224545792,317687,0.0,False,False,False,False,False,False,False,False,True,False
GE,271.055,1.379,287437553664,2031783,0.53,False,False,False,False,False,False,True,False,False,False
GEHC,71.89,1.4066434858743226,32917352448,3206613,0.2,False,False,False,False,False,True,False,False,False,False
GEV,663.44,1.6362986204339616,180604289024,2196401,0.15,False,False,False,False,False,False,True,False,False,False
GEN,29.59,1.006,18217852928,1056103,1.68,False,False,False,False,False,False,False,False,True,False
GNRC,196.175,1.725,11590333440,2010413,0.0,False,False,False,False,False,False,True,False,False,False
GD,310.905,0.472,83631267840,494270,1.92,False,False,False,False,False,False,True,False,False,False
GIS,49.045,0.004,26603382784,2948426,4.96,False,False,True,False,False,False,False,False,False,False
GM,53.38,1.323,50812403712,9034564,1.15,False,True,False,False,False,False,False,False,False,False
GPC,129.01,0.751,17944258560,697102,3.12,False,True,False,False,False,False,False,False,False,False
GILD,113.865,0.307,141640089600,2525243,2.75,False,False,False,False,False,True,False,False,False,False
GPN,80.92,0.945,19734769664,652107,1.23,False,False,False,False,False,False,True,False,False,False
GL,140.7409,0.561,11617162240,218635,0.77,False,False,False,False,True,False,False,False,False,False
GDDY,162.5,1.055,23154300928,664975,0.0,False,False,False,False,False,False,False,False,True,False
GS,726.46,1.344,222907711488,1130706,2.19,False,False,False,False,True,False,False,False,False,False
HAL,22.345,1.136,19051390976,6701417,3.04,False,False,False,True,False,False,False,False,False,False
HIG,124.975,0.685,35139469312,485694,1.67,False,False,False,False,True,False,False,False,False,False
HAS,75.195,0.58,10536999936,613345,3.68,False,True,False,False,False,False,False,False,False,False
HCA,355.505,1.48,85525258240,549910,0.81,False,False,False,False,False,True,False,False,False,False
DOC,16.975,1.006,11796318208,3582930,7.09,False,False,False,False,False,False,False,True,False,False
HSIC,68.61,0.868,8576592896,791462,0.0,False,False,False,False,False,True,False,False,False,False
HSY,186.935,0.287,37873778688,865735,2.9,False,False,True,False,False,False,False,False,False,False
HPE,20.935,1.364,27471325184,4618559,2.49,False,False,False,False,False,False,False,False,True,False
HLT,268.27,1.25,63095492608,805046,0.22,False,True,False,False,False,False,False,False,False,False
HOLX,66.7,0.555,14863760384,1645280,0.0,False,False,False,False,False,True,False,False,False,False
HD,368.695,1.004,366824980480,1200456,2.47,False,True,False,False,False,False,False,False,False,False
HON,222.715,1.063,141401096192,1043781,2.03,False,False,False,False,False,False,True,False,False,False
HRL,28.01,0.33,15402558464,871836,4.1,False,False,True,False,False,False,False,False,False,False
HST,15.765,1.332,11084561408,12035656,4.96,False,False,False,False,False,False,False,True,False,False
HWM,176.06,1.43,71070842880,5013622,0.25,False,False,False,False,False,False,True,False,False,False
HPQ,25.035,1.291,23514699776,3336769,4.61,False,False,False,False,False,False,False,False,True,False
HUBB,442.02,0.981,23591755776,326105,1.21,False,False,False,False,False,False,True,False,False,False
HUM,251.59,0.3192070277123291,30365151232,1511619,1.35,False,False,False,False,False,True,False,False,False,False
HBAN,16.5465,0.952,24255348736,24507297,3.74,False,False,False,False,True,False,False,False,False,False
HII,282.78,0.3,11096032256,1236830,2.09,False,False,False,False,False,False,True,False,False,False
IBM,256.5,0.68,238934622208,2305592,2.58,False,False,False,False,False,False,False,False,True,False
IEX,164.34,1.036,12414999552,591796,1.73,False,False,False,False,False,False,True,False,False,False
IDXX,541.66,1.54,43561324544,543049,0.0,False,False,False,False,False,True,False,False,False,False
ITW,256.555,0.8808830975568096,75264516096,712220,2.37,False,False,False,False,False,False,True,False,False,False
INCY,75.645,0.683,14771652608,749826,0.0,False,False,False,False,False,True,False,False,False,False
IR,85.45,1.428,34475913216,1260410,0.09,False,False,False,False,False,False,True,False,False,False
PODD,291.58,1.347,20519911424,233923,0.0,False,False,False,False,False,True,False,False,False,False
ICE,186.6,1.119,107038613504,2315203,1.03,False,False,False,False,True,False,False,False,False,False
IFF,71.16,1.054,18202017792,821312,2.23,False,False,False,False,False,False,False,False,False,False
IP,47.78,0.974,25223157760,7627899,3.45,False,True,False,False,False,False,False,False,False,False
IPG,24.645,1.042,9026625536,2960592,5.31,True,False,False,False,False,False,False,False,False,False
INTU,791.43,1.277,220767027200,675042,0.52,False,False,False,False,False,False,False,False,True,False
ISRG,488.92,1.647,175266578432,1166359,0.0,False,False,False,False,False,True,False,False,False,False
IVZ,21.185,1.443,9448509440,2106894,3.91,False,False,False,False,True,False,False,False,False,False
INVH,31.0899,0.799,19056523264,3703071,3.7,False,False,False,False,False,False,False,True,False,False
IQV,188.27,1.307,32005900288,825080,0.0,False,False,False,False,False,True,False,False,False,False
IRM,97.815,1.102,28859729920,394697,3.21,False,False,False,False,False,False,False,True,False,False
JBHT,144.52,1.29,13989434368,436926,1.22,False,False,False,False,False,False,True,False,False,False
JBL,223.07,1.202,23939649536,533180,0.14,False,False,False,False,False,False,False,False,True,False
JKHY,171.36,0.722,12477750272,197385,1.34,False,False,False,False,False,False,False,False,True,False
J,142.09,0.761,17072965632,336478,0.91,False,False,False,False,False,False,True,False,False,False
JNJ,166.035,0.4,399868723200,3107191,3.11,False,False,False,False,False,True,False,False,False,False
JCI,105.35,1.33,69325250560,3121096,1.42,False,False,False,False,False,False,True,False,False,False
JPM,296.735,1.094,815923265536,3543583,1.87,False,False,False,False,True,False,False,False,False,False
K,79.87,0.289,27710019584,1764227,2.91,False,False,True,False,False,False,False,False,False,False
KVUE,21.725,0.783,41710047232,5633293,3.83,False,False,True,False,False,False,False,False,False,False
KDP,33.035,0.484,44876062720,4704393,2.72,False,False,True,False,False,False,False,False,False,False
KEY,18.04,1.088,20068599808,26345415,4.52,False,False,False,False,True,False,False,False,False,False
KEYS,165.31,1.096,28451336192,238048,0.0,False,False,False,False,False,False,False,False,True,False
KMB,125.4479,0.364,41625620480,1031968,4.02,False,False,True,False,False,False,False,False,False,False
KIM,21.545,1.26,14575106048,3314836,4.57,False,False,False,False,False,False,False,True,False,False
KMI,27.995,0.751,62207131648,6312966,4.18,False,False,False,True,False,False,False,False,False,False
KKR,146.46,1.882,135506264064,2735859,0.49,False,False,False,False,True,False,False,False,False,False
KLAC,887.59,1.416,117375795200,1067839,0.82,False,False,False,False,False,False,False,False,True,False
KHC,27.565,0.2969478163723314,32624279552,8679600,5.62,False,False,True,False,False,False,False,False,False,False
KR,69.695,0.579,46079266816,5259131,2.02,False,False,True,False,False,False,False,False,False,False
LHX,274.15,0.749,51292094464,409388,1.75,False,False,False,False,False,False,True,False,False,False
LH,261.68,0.799,21693272064,208132,1.09,False,False,False,False,False,True,False,False,False,False
LRCX,94.435,1.69,120793694208,16762570,0.93,False,False,False,False,False,False,False,False,True,False
LW,56.89,0.448,7924833280,1147490,2.52,False,False,True,False,False,False,False,False,False,False
LVS,52.45,1.026,36004511744,1542619,1.89,False,True,False,False,False,False,False,False,False,False
LDOS,160.73,0.654,20689004544,327198,0.99,False,False,False,False,False,False,False,False,True,False
LEN,112.88,1.347,29076420608,1000598,1.78,False,True,False,False,False,False,False,False,False,False
LII,612.3,1.132,21506609152,133149,0.84,False,False,False,False,False,False,True,False,False,False
LLY,756.0,0.398,678688391168,2710139,0.79,False,False,False,False,False,True,False,False,False,False
LIN,462.1628,0.965,217551126528,707849,1.29,False,False,False,False,False,False,False,False,False,False
LYV,149.275,1.456,34597765120,934503,0.0,True,False,False,False,False,False,False,False,False,False
LKQ,29.57,0.941,7608153600,2123178,3.98,False,True,False,False,False,False,False,False,False,False
LMT,420.355,0.276,98138177536,960307,3.15,False,False,False,False,False,False,True,False,False,False
L,90.96,0.701,19074037760,183443,0.28,False,False,False,False,True,False,False,False,False,False
LOW,224.48,0.905,125807124480,938314,2.11,False,True,False,False,False,False,False,False,False,False
LULU,202.1881,1.176,24232445952,2507935,0.0,False,True,False,False,False,False,False,False,False,False
LYB,57.8458,0.839,18591639552,3621931,9.31,False,False,False,False,False,False,False,False,False,False
MTB,190.045,0.617,29748123648,269191,2.82,False,False,False,False,True,False,False,False,False,False
MPC,170.04,0.86,52238667776,431141,2.13,False,False,False,True,False,False,False,False,False,False
MKTX,207.4175,0.844,7778508800,155089,1.45,False,False,False,False,True,False,False,False,False,False
MAR,265.01,1.411,72585183232,776350,0.99,False,True,False,False,False,False,False,False,False,False
MMC,199.79,0.796,98221555712,1120605,1.79,False,False,False,False,True,False,False,False,False,False
MLM,569.42,0.872,34327711744,255965,0.55,False,False,False,False,False,False,False,False,False,False
MAS,68.07,1.187,14358821888,2820191,1.89,False,False,False,False,False,False,True,False,False,False
MA,574.435,1.025,521634086912,2044361,0.54,False,False,False,False,True,False,False,False,False,False
MTCH,34.27,1.362,8403860480,2162193,2.22,True,False,False,False,False,False,False,False,False,False
MKC,70.985,0.685,19049250816,803872,2.52,False,False,True,False,False,False,False,False,False,False
MCD,301.695,0.527,215721885696,1225660,2.33,False,True,False,False,False,False,False,False,False,False
MCK,706.6,0.48,88257167360,352137,0.4,False,False,False,False,False,True,False,False,False,False
MDT,91.26,0.82,116927791104,2904752,3.1,False,False,False,False,False,True,False,False,False,False
